>>>DATA LIST FOR: SCORED_POSTS_AQ (A)_201349194152470.xml
ye1.org, AQAA Military Engagement, عصفور النار, الفجر الجدديد, 1
ye1.org, AQAA Terrorist Activity, عصفور النار, الفجر الجدديد, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, عبد الرحمن الزر, 1
nationalkuwait.com, AQAA Non Violent Activity, الناجع, خالد بن الوليد, 1
ye1.org, AQAA Non Violent Activity, ابوخالد عبدالله, الركن اليماني, 1
ye1.org, AQAA Non Violent Activity, ابوخالد عبدالله, الزهراء الزهراء, 1
ye1.org, AQAA Non Violent Activity, ابوخالد عبدالله, ربـــش, 1
ye1.org, AQAA Non Violent Activity, أميــر القــلم, أبو هارون منصور, 1
ye1.org, AQAA Non Violent Activity, أميــر القــلم, جلال الأربعيني, 1
ye1.org, AQ Ideology, جلال الأربعيني, أبو هارون منصور, 1
ye1.org, AQAA Terrorist Activity, جلال الأربعيني, أبو هارون منصور, 1
ye1.org, AQ Ideology, عبد الرحمن الزر, مملكه سباء, 1
ye1.org, AQAA Non Violent Activity, مملكه سباء, ربـــش, 1
ye1.org, AQAA Terrorist Activity, مملكه سباء, ربـــش, 1
nationalkuwait.com, AQAA Terrorist Activity, شاهر المطيري, خالد بن الوليد, 1
ye1.org, AQAA Non Violent Activity, النمر بن عدوان, أبومعاوية, 1
ye1.org, AQAA Non Violent Activity, أبومعاوية, النمر بن عدوان, 1
nationalkuwait.com, AQAA Terrorist Activity, خالد بن الوليد, Trident, 1
ye1.org, AQAA Terrorist Activity, النمر بن عدوان, طبيب العقول, 1
nationalkuwait.com, AQAA Terrorist Activity, خالد بن الوليد, شاهر المطيري, 2
ye1.org, AQAA Terrorist Activity, طبيب العقول, أبو عبيده, 1
ye1.org, AQAA Non Violent Activity, الزهراء الزهراء, ربـــش, 1
ye1.org, AQAA Non Violent Activity, الزهراء الزهراء, الركن اليماني, 1
ye1.org, AQAA Terrorist Activity, جلال الأربعيني, أم عمر, 1
ye1.org, AQAA Non Violent Activity, صـدى الحـق, النمر بن عدوان, 1
nationalkuwait.com, AQAA Terrorist Activity, شاهر المطيري, خالد بن الوليد, 3
ye1.org, AQAA Non Violent Activity, الأطلنطي, النمر بن عدوان, 1
ye1.org, AQAA Terrorist Activity, علوي شملان, النمر بن عدوان, 1
ye1.org, AQAA Terrorist Activity, طارق الحميري, جلال الأربعيني, 1
ye1.org, AQAA Terrorist Activity, زئير الغضنفر, عرين الأسد, 1
nationalkuwait.com, AQ Ideology, عمر الفاروق, al mo7eb, 1
nationalkuwait.com, AQAA Military Engagement, عمر الفاروق, al mo7eb, 1
nationalkuwait.com, AQAA Terrorist Activity, عمر الفاروق, al mo7eb, 1
ye1.org, AQ Ideology, الركن اليماني, ربـــش, 1
ye1.org, AQAA Non Violent Activity, الركن اليماني, ربـــش, 1
ye1.org, AQAA Terrorist Activity, محمد العباسى, عبد الرحمن الزر, 1
ye1.org, AQAA Non Violent Activity, سالم رضوان, تأبط قلم, 1
ye1.org, AQAA Terrorist Activity, رضا السالمي, أبو هارون منصور, 1
nationalkuwait.com, AQAA Military Engagement, al mo7eb, الناجع, 1
nationalkuwait.com, AQAA Non Violent Activity, al mo7eb, سيف العدل, 1
nationalkuwait.com, AQAA Non Violent Activity, al mo7eb, عمر الفاروق, 1
ye1.org, AQAA Military Engagement, ربـــش, طارق الحميري, 1
ye1.org, AQAA Terrorist Activity, جلال الأربعيني, زئير الغضنفر, 1
ye1.org, AQAA Terrorist Activity, جلال الأربعيني, عبد الرحمن الزر, 1
173.199.128.68, AQ Ideology, عمر الفاروق, هزاع, 1
173.199.128.68, AQAA Terrorist Activity, عمر الفاروق, هزاع, 1
ye1.org, AQ Ideology, متابع اعلامي, أبوجعفر, 1
ye1.org, AQ Ideology, أبوجعفر, متابع اعلامي, 1
ye1.org, AQ Ideology, متابع اعلامي, أبوجعفر, 1
ye1.org, AQ Ideology, أبوجعفر, متابع اعلامي, 1
ye1.org, AQ Ideology, متابع اعلامي, أبوجعفر, 1
ye1.org, AQAA Terrorist Activity, متابع اعلامي, أبوجعفر, 1
ye1.org, AQ Ideology, أبوجعفر, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, أبوجعفر, رجال الوايلي, 1
ye1.org, AQ Ideology, رجال الوايلي, أبوجعفر, 1
ye1.org, AQAA Military Engagement, رجال الوايلي, أبوجعفر, 1
ye1.org, AQAA Terrorist Activity, رجال الوايلي, أبوجعفر, 1
ye1.org, AQ Ideology, أبوجعفر, متابع اعلامي, 1
ye1.org, AQAA Terrorist Activity, أبوجعفر, متابع اعلامي, 1
ye1.org, AQAA Terrorist Activity, محمد العباسى, زئير الغضنفر, 1
ye1.org, AQAA Terrorist Activity, زئير الغضنفر, ارحل الان, 1
ye1.org, AQAA Terrorist Activity, زئير الغضنفر, نظمي, 1
ye1.org, AQAA Non Violent Activity, منصور عبد ربه, عبد الرحمن الزر, 1
ye1.org, AQAA Military Engagement, ابوخالد عبدالله, محب الله1, 1
ye1.org, AQAA Terrorist Activity, ابوخالد عبدالله, محب الله1, 1
173.199.128.68, AQ Ideology, هزاع, عمر الفاروق, 1
173.199.128.68, AQAA Terrorist Activity, هزاع, عمر الفاروق, 1
ye1.org, AQ Ideology, المعلم1, مملكه سباء, 1
ye1.org, AQAA Terrorist Activity, المعلم1, مملكه سباء, 1
ye1.org, AQAA Terrorist Activity, مملكه سباء, ربـــش, 1
ye1.org, AQAA Non Violent Activity, النسر الفضي, منصور عبد ربه, 1
ye1.org, AQAA Terrorist Activity, النسر الفضي, نظمي, 1
ye1.org, AQAA Terrorist Activity, نظمي, النسر الفضي, 1
ye1.org, AQAA Military Engagement, طارق الحميري, ربـــش, 1
ye1.org, AQ Ideology, طارق الحميري, أبوجعفر, 1
ye1.org, AQAA Terrorist Activity, متابع اعلامي, أبوجعفر, 1
ye1.org, AQ Ideology, محب الله1, رجال الوايلي, 1
ye1.org, AQ Ideology, محب الله1, ربـــش, 1
ye1.org, AQAA Non Violent Activity, محب الله1, ربـــش, 1
ye1.org, AQ Ideology, رمضان16, أبوالبراء79, 1
ye1.org, AQ Ideology, أبوالبراء79, أبوجعفر, 1
ye1.org, AQAA Terrorist Activity, أبوالبراء79, أبوجعفر, 1
ye1.org, AQAA Non Violent Activity, مراسل بلا حدود, ربـــش, 1
ye1.org, AQAA Non Violent Activity, ربـــش, مملكه سباء, 1
ye1.org, AQAA Terrorist Activity, ربـــش, مملكه سباء, 1
ye1.org, AQ Ideology, صادق حسن, عبد الرحمن الزر, 1
ye1.org, AQAA Terrorist Activity, صادق حسن, عبد الرحمن الزر, 1
ye1.org, AQ Ideology, منصور عبد ربه, عبد الرحمن الزر, 1
ye1.org, AQ Ideology, رشاد العولقي, أبوجعفر, 1
nationalkuwait.com, AQAA Non Violent Activity, سيف العدل, ابو حمود, 1
ye1.org, AQAA Terrorist Activity, أم عمر, جلال الأربعيني, 1
nationalkuwait.com, AQ Ideology, ابو حمود, سيف العدل, 1
nationalkuwait.com, AQAA Terrorist Activity, ابو حمود, سيف العدل, 1
ye1.org, AQAA Non Violent Activity, النسر الفضي, أبو شديد, 1
ye1.org, AQAA Terrorist Activity, النسر الفضي, زئير الغضنفر, 1
ye1.org, AQAA Terrorist Activity, أبو شديد, عبد الرحمن الزر, 1
ye1.org, AQAA Terrorist Activity, جلال الأربعيني, Nutcracker, 1
ye1.org, AQ Ideology, رجال الوايلي, أبوالبراء79, 1
ye1.org, AQ Ideology, الواحدي شبواني, نور الدين زنكي, 1
ye1.org, AQAA Non Violent Activity, أبوالبراء79, نور الدين زنكي, 1
ye1.org, AQAA Non Violent Activity, نور الدين زنكي, الواحدي شبواني, 1
ye1.org, AQ Ideology, الواحدي شبواني, أبوالبراء79, 1
ye1.org, AQAA Non Violent Activity, نور الدين زنكي, أبوالبراء79, 1
nationalkuwait.com, AQAA Non Violent Activity, عمر الفاروق, الناجع, 1
nationalkuwait.com, AQAA Non Violent Activity, عمر الفاروق, سيف العدل, 1
nationalkuwait.com, AQ Ideology, سيف العدل, الناجع, 1
nationalkuwait.com, AQ Ideology, الناجع, عمر الفاروق, 1
nationalkuwait.com, AQAA Military Engagement, الناجع, عمر الفاروق, 1
nationalkuwait.com, AQAA Terrorist Activity, عمر الفاروق, سيف العدل, 1
ye1.org, AQAA Terrorist Activity, مراسل بلا حدود, ربـــش, 1
ye1.org, AQAA Terrorist Activity, ربـــش, مراسل بلا حدود, 1
ye1.org, AQAA Non Violent Activity, نور الدين زنكي, قلم حرر, 1
ye1.org, AQ Ideology, رياح الصحراء, حمد اليمني, 1
ye1.org, AQ Ideology, رياح الصحراء, أبو شديد, 1
ye1.org, AQ Ideology, حمد اليمني, أبو شديد, 1
ye1.org, AQAA Non Violent Activity, زهيرسالم, ابن الرياشي, 1
ye1.org, AQAA Terrorist Activity, زهيرسالم, ابن الرياشي, 1
ye1.org, AQAA Terrorist Activity, زهيرسالم, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, ابن الرياشي, ارحل الان, 1
ye1.org, AQAA Terrorist Activity, ليال92, gamel, 1
ye1.org, AQ Ideology, hero7, keelo, 1
ye1.org, AQ Ideology, الواحدي شبواني, keelo, 1
ye1.org, AQAA Military Engagement, محب الله1, شعارالنصر, 1
ye1.org, AQAA Military Engagement, متابع اعلامي, شعارالنصر, 1
ye1.org, AQAA Non Violent Activity, متابع اعلامي, شعارالنصر, 1
ye1.org, AQAA Non Violent Activity, keelo, الضاحية, 1
ye1.org, AQ Ideology, إبن الهيثم, هرماس, 1
ye1.org, AQAA Terrorist Activity, علي ابن المشطط, ربـــش, 1
ye1.org, AQAA Terrorist Activity, ارحل الان, ابن الرياشي, 1
ye1.org, AQAA Terrorist Activity, gamel, thuhal, 1
ye1.org, AQAA Terrorist Activity, محارب الفتن, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, محارب الفتن, ابن الرياشي, 1
ye1.org, AQAA Terrorist Activity, thuhal, الفجر الجدديد, 1
nationalkuwait.com, AQAA Terrorist Activity, ابو حمود, kalame, 1
nationalkuwait.com, AQAA Terrorist Activity, ابو حمود, deep thinker, 1
nationalkuwait.com, AQAA Terrorist Activity, سيف العدل, حمامي عروبي, 1
ye1.org, AQAA Non Violent Activity, ليال92, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, ليال92, رجال الوايلي, 1
